step,grad_norm,loss,param_norm
0,1.358,0.079,1803.7705
100,0.4937,0.0571,1803.7704
200,0.4592,0.0427,1803.7708
300,0.3962,0.035,1803.7709
400,0.4413,0.0303,1803.7715
500,0.3253,0.0267,1803.7728
600,0.32,0.0246,1803.7747
700,0.3005,0.024,1803.7769
800,0.2674,0.0232,1803.7803
900,0.239,0.0209,1803.7847
1000,0.2317,0.0204,1803.7899
1100,0.2011,0.02,1803.7959
1200,0.1936,0.0179,1803.8016
1300,0.194,0.0182,1803.8077
1400,0.1757,0.0185,1803.814
1500,0.1629,0.016,1803.8199
1600,0.1671,0.0167,1803.8256
1700,0.1656,0.0176,1803.8318
1800,0.144,0.0139,1803.8378
1900,0.167,0.0152,1803.8438
2000,0.1405,0.0135,1803.8494
2100,0.14,0.0137,1803.855
2200,0.1447,0.0133,1803.8612
2300,0.1418,0.0135,1803.8672
2400,0.1429,0.0136,1803.8734
2500,0.1341,0.0122,1803.8794
2600,0.1359,0.0131,1803.8853
2700,0.1377,0.0122,1803.8914
2800,0.1324,0.0122,1803.8971
2900,0.1404,0.0132,1803.9034
3000,0.1247,0.0117,1803.9092
3100,0.1201,0.0103,1803.9146
3200,0.1249,0.011,1803.9205
3300,0.1178,0.0102,1803.9269
3400,0.1199,0.0107,1803.9332
3500,0.1376,0.0121,1803.9393
3600,0.1169,0.0098,1803.9453
3700,0.1212,0.0099,1803.9507
3800,0.1197,0.0099,1803.9568
3900,0.1197,0.0094,1803.9631
4000,0.1252,0.0105,1803.9689
4100,0.1136,0.0099,1803.9746
4200,0.1197,0.0105,1803.9806
4300,0.1225,0.0099,1803.9868
4400,0.1201,0.0104,1803.9923
4500,0.1124,0.0089,1803.9979
4600,0.1169,0.0091,1804.004
4700,0.1197,0.0094,1804.0095
4800,0.1086,0.0089,1804.015
4900,0.1119,0.0101,1804.0208
5000,0.1126,0.0098,1804.0262
5100,0.1009,0.0087,1804.0314
5200,0.1193,0.0092,1804.0374
5300,0.1032,0.0088,1804.0427
5400,0.1076,0.0092,1804.0477
5500,0.1073,0.0087,1804.0533
5600,0.1178,0.0094,1804.0587
5700,0.1024,0.008,1804.0643
5800,0.1046,0.0079,1804.0687
5900,0.1057,0.0087,1804.074
6000,0.1054,0.0085,1804.0793
6100,0.1063,0.0081,1804.0845
6200,0.109,0.0087,1804.0894
6300,0.1018,0.0083,1804.0944
6400,0.106,0.0082,1804.0996
6500,0.1056,0.0086,1804.1046
6600,0.1121,0.0077,1804.1096
6700,0.1081,0.0082,1804.1146
6800,0.0999,0.0072,1804.1187
6900,0.1011,0.0078,1804.1235
7000,0.1048,0.008,1804.1283
7100,0.1028,0.008,1804.1331
7200,0.0995,0.0083,1804.1381
7300,0.1009,0.0079,1804.1425
7400,0.0902,0.0068,1804.1469
7500,0.1067,0.0081,1804.1515
7600,0.1054,0.0075,1804.1569
7700,0.096,0.0071,1804.1613
7800,0.1014,0.0079,1804.1663
7900,0.0945,0.007,1804.171
8000,0.0872,0.0063,1804.1759
8100,0.0999,0.0074,1804.1805
8200,0.1062,0.0071,1804.1851
8300,0.0952,0.007,1804.1897
8400,0.0893,0.0064,1804.1943
8500,0.0856,0.0062,1804.1978
8600,0.0974,0.0068,1804.2028
8700,0.0976,0.007,1804.2072
8800,0.0975,0.0063,1804.2115
8900,0.0956,0.007,1804.2156
9000,0.095,0.0067,1804.219
9100,0.0925,0.0062,1804.2231
9200,0.0919,0.0069,1804.2274
9300,0.0844,0.0067,1804.2316
9400,0.0855,0.0058,1804.2358
9500,0.0945,0.0069,1804.2402
9600,0.0972,0.0067,1804.244
9700,0.0962,0.007,1804.248
9800,0.0879,0.0065,1804.252
9900,0.0908,0.0057,1804.2559
10000,0.0915,0.0063,1804.259
10100,0.0901,0.0061,1804.2631
10200,0.0863,0.0061,1804.2668
10300,0.0877,0.0061,1804.2715
10400,0.082,0.0057,1804.2749
10500,0.0905,0.0056,1804.2784
10600,0.0927,0.006,1804.2815
10700,0.0902,0.006,1804.2852
10800,0.0844,0.006,1804.2885
10900,0.0844,0.0059,1804.2919
11000,0.0814,0.0055,1804.2955
11100,0.0855,0.0059,1804.2991
11200,0.0853,0.0056,1804.3025
11300,0.0817,0.0056,1804.3059
11400,0.0832,0.0063,1804.3091
11500,0.0731,0.0046,1804.3121
11600,0.0896,0.0058,1804.3156
11700,0.0945,0.0064,1804.3193
11800,0.0797,0.0054,1804.3221
11900,0.0816,0.0056,1804.3253
12000,0.0822,0.0058,1804.3284
12100,0.0866,0.0058,1804.3315
12200,0.0831,0.0059,1804.3344
12300,0.0878,0.0059,1804.337
12400,0.0824,0.0055,1804.34
12500,0.0814,0.0052,1804.3431
12600,0.0714,0.0043,1804.3459
12700,0.0786,0.0053,1804.3488
12800,0.0819,0.0052,1804.3516
12900,0.0849,0.0053,1804.3538
13000,0.0795,0.0048,1804.3568
13100,0.0743,0.0048,1804.3596
13200,0.0789,0.0058,1804.3623
13300,0.0827,0.0053,1804.3652
13400,0.0746,0.005,1804.3678
13500,0.0762,0.0051,1804.3705
13600,0.0859,0.0058,1804.373
13700,0.0827,0.0054,1804.3752
13800,0.0892,0.0055,1804.3776
13900,0.0821,0.0051,1804.38
14000,0.077,0.0051,1804.3828
14100,0.0793,0.0052,1804.385
14200,0.072,0.0041,1804.3873
14300,0.0808,0.0048,1804.3896
14400,0.0789,0.005,1804.3918
14500,0.085,0.0051,1804.394
14600,0.0751,0.0046,1804.3962
14700,0.0776,0.0049,1804.3984
14800,0.0736,0.0046,1804.4006
14900,0.078,0.0046,1804.4026
15000,0.0811,0.0048,1804.4047
15100,0.0816,0.0049,1804.4065
15200,0.0834,0.0046,1804.4088
15300,0.0783,0.0049,1804.4108
15400,0.0847,0.0048,1804.4127
15500,0.0689,0.0044,1804.4143
15600,0.082,0.0052,1804.4159
15700,0.0795,0.0048,1804.4177
15800,0.0712,0.0042,1804.4197
15900,0.0731,0.0044,1804.4213
16000,0.0752,0.0041,1804.4231
16100,0.0731,0.0045,1804.4244
16200,0.0779,0.0044,1804.4264
16300,0.0753,0.0044,1804.4283
16400,0.0811,0.005,1804.4299
16500,0.0785,0.0046,1804.4315
16600,0.075,0.0045,1804.4332
16700,0.0685,0.0039,1804.4349
16800,0.0762,0.005,1804.4364
16900,0.0798,0.0043,1804.4377
17000,0.0811,0.0046,1804.439
17100,0.0769,0.0047,1804.4406
17200,0.0731,0.004,1804.442
17300,0.0779,0.0049,1804.4434
17400,0.0711,0.0039,1804.4448
17500,0.0652,0.0037,1804.4464
17600,0.0742,0.0043,1804.4478
17700,0.075,0.0041,1804.4492
17800,0.0713,0.0041,1804.4509
17900,0.073,0.0042,1804.4521
18000,0.0702,0.004,1804.4531
18100,0.0677,0.0036,1804.454
18200,0.0654,0.0036,1804.455
18300,0.0707,0.0039,1804.4564
18400,0.0728,0.0041,1804.4576
18500,0.0808,0.0047,1804.4584
18600,0.0688,0.0039,1804.4594
18700,0.0699,0.0038,1804.4603
18800,0.0667,0.0033,1804.4612
18900,0.0693,0.0038,1804.4622
19000,0.078,0.004,1804.4628
19100,0.0746,0.004,1804.4639
19200,0.0708,0.0036,1804.4653
19300,0.068,0.0036,1804.4661
19400,0.0688,0.004,1804.4668
19500,0.0683,0.004,1804.4681
19600,0.0722,0.004,1804.469
19700,0.0711,0.0039,1804.47
19800,0.0686,0.0039,1804.4706
19900,0.0687,0.0034,1804.4716
