step,grad_norm,loss,param_norm,lr
0,0.682,0.088,1803.7705,2.4975024975024977e-08
100,0.5317,0.0602,1803.7704,2.5224775224775224e-06
200,0.462,0.0457,1803.7706,5.01998001998002e-06
300,0.4136,0.0345,1803.7709,7.517482517482517e-06
400,0.3884,0.0251,1803.7719,1.0014985014985015e-05
500,0.3549,0.0218,1803.7731,1.2512487512487512e-05
600,0.2721,0.0183,1803.7747,1.5009990009990008e-05
700,0.2503,0.0171,1803.7775,1.750749250749251e-05
800,0.2162,0.0141,1803.7803,2.0004995004995006e-05
900,0.2068,0.0155,1803.7841,2.2502497502497504e-05
1000,0.1836,0.014,1803.7888,2.5e-05
1100,0.1569,0.0121,1803.7943,2.4999339881310022e-05
1200,0.1506,0.0113,1803.8004,2.4997359602707947e-05
1300,0.1453,0.0103,1803.8059,2.4994059396588246e-05
1400,0.136,0.0101,1803.8112,2.498943965024474e-05
1500,0.1324,0.0093,1803.8171,2.4983500905825144e-05
1600,0.1271,0.009,1803.8229,2.4976243860267448e-05
1700,0.1316,0.01,1803.8289,2.4967669365218127e-05
1800,0.1168,0.0079,1803.8345,2.495777842693219e-05
1900,0.1206,0.0084,1803.84,2.49465722061551e-05
2000,0.1078,0.008,1803.8455,2.4934052017986546e-05
2100,0.1137,0.0081,1803.851,2.4920219331726126e-05
2200,0.1107,0.0071,1803.8562,2.4905075770700908e-05
2300,0.1145,0.0074,1803.8616,2.4888623112074914e-05
2400,0.107,0.0068,1803.8668,2.4870863286640582e-05
2500,0.0954,0.0062,1803.8724,2.485179837859217e-05
2600,0.1055,0.007,1803.8781,2.483143062528117e-05
2700,0.0988,0.0062,1803.8834,2.4809762416953737e-05
2800,0.0983,0.0069,1803.8885,2.4786796296470192e-05
2900,0.0983,0.0065,1803.894,2.47625349590066e-05
3000,0.0928,0.0058,1803.8992,2.4736981251738475e-05
3100,0.0839,0.0052,1803.9041,2.4710138173506672e-05
3200,0.0986,0.0062,1803.9097,2.4682008874465438e-05
3300,0.0873,0.0055,1803.9147,2.4652596655712732e-05
3400,0.0884,0.0054,1803.9193,2.4621904968902828e-05
